	Nome Interno do Anúncio	Canal	Tipo de Acomodação	Porte	Atendecência Reserva (dias)	Data de Criação	Chegada	Data de checkout	Número de Noites	Adults Count	Children Count	Infants Count	Total de Hóspedes	Total da Reserva	Total da reserva por hospede	Total da reserva por noite	Valor por Noite	Ganhos	Ganho por hospede	Ganho por Noite	Comissão Plataforma	Bairro	Status da Reserva	OTA's external code
489	Studio Praia Ipanema	Airbnb	Espaço Inteiro	Pequeno	82	2023-08-12	2023-11-02	2023-11-05	3	2	0	0	2	847.51	423.755	282.5	282.5	720.38	360.19	240.13	127.13	Ipanema	Confirmada	HMWKEZEMMN
490	Apartamento Leblon Vista Mar!	Airbnb	Espaço Inteiro	Pequeno	16	2023-10-16	2023-11-01	2023-11-05	4	2	0	0	2	2754.41	1377.205	688.6	688.6	2341.25	1170.62	585.31	413.16	Leblon	Confirmada	HMKKTDN9YT
492	Apê Amplo Ipanema 300 m da Praia	Airbnb	Espaço Inteiro	Grande	65	2023-08-28	2023-11-01	2023-11-05	4	8	0	0	8	4481.21	560.15125	1120.3	1120.3	3809.03	476.13	952.26	672.18	Ipanema	Confirmada	HMBJ844PQB
493	Ipanema Amplo Vista Mar!	Airbnb	Espaço Inteiro	Grande	31	2023-10-01	2023-11-01	2023-11-04	3	7	0	0	7	2983.27	426.18142857142857	994.42	994.42	2535.78	362.25	845.26	447.49	Ipanema	Confirmada	HMMZCTAYC4
494	Charmoso Apartamento no Leblon!	Airbnb	Espaço Inteiro	Pequeno	7	2023-10-21	2023-10-28	2023-11-02	5	1	0	0	1	2270.99	2270.99	454.2	454.2	1930.34	1930.34	386.07	340.65	Leblon	Confirmada	HMMESH8EJF
495	Super Apê com Jacuzzi Ipanema	Airbnb	Espaço Inteiro	Grande	6	2023-10-22	2023-10-28	2023-10-31	3	4	0	0	4	1571.65	392.9125	523.88	523.88	1335.9	333.98	445.3	235.75	Ipanema	Confirmada	HM89SXYJRT
496	Apê Amplo em Ipanema 300 m da Praia	Airbnb	Espaço Inteiro	Grande	70	2023-08-18	2023-10-27	2023-11-03	7	7	0	0	7	5622.15	803.1642857142857	803.16	803.16	4778.83	682.69	682.69	843.32	Ipanema	Confirmada	HM8YZXY9C9
498	Apê Amplo Ipanema 300 m da Praia	Airbnb	Espaço Inteiro	Grande	35	2023-09-22	2023-10-27	2023-10-30	3	8	0	0	8	2237.36	279.67	745.79	745.79	1901.76	237.72	633.92	335.6	Ipanema	Confirmada	HMTR3FANXC
499	Ipanema Studio 300 m da praia	Airbnb	Espaço Inteiro	Pequeno	9	2023-10-17	2023-10-26	2023-11-02	7	1	0	0	1	1660.8	1660.8	237.26	237.26	1411.68	1411.68	201.67	249.12	Ipanema	Confirmada	HM3W8SW4R9
500	Super Apê com Jacuzzi Ipanema	Airbnb	Espaço Inteiro	Grande	0	2023-10-25	2023-10-25	2023-10-28	3	2	0	0	2	1385.54	692.77	461.85	461.85	1177.71	588.86	392.57	207.83	Ipanema	Confirmada	HMHZ4XT9H3
502	Apê Amplo Ipanema 300 m da Praia	Airbnb	Espaço Inteiro	Grande	26	2023-09-28	2023-10-24	2023-10-27	3	6	0	1	7	1575.65	225.09285714285716	525.22	525.22	1339.3	191.33	446.43	236.35	Ipanema	Confirmada	HMD8SPZ5PF
503	Apê Amplo em Ipanema 300 m da Praia	Airbnb	Espaço Inteiro	Grande	34	2023-09-20	2023-10-24	2023-10-27	3	6	0	0	6	1789.92	298.32	596.64	596.64	1521.43	253.57	507.14	268.49	Ipanema	Confirmada	HMCTZJR2YQ
504	Apê Amplo Ipanema 300 m da Praia	Airbnb	Espaço Inteiro	Grande	25	2023-09-26	2023-10-21	2023-10-24	3	8	0	0	8	1575.65	196.95625	525.22	525.22	1339.3	167.41	446.43	236.35	Ipanema	Confirmada	HMJCJD83XK
505	Apê Amplo em Ipanema 300 m da Praia	Airbnb	Espaço Inteiro	Grande	52	2023-08-29	2023-10-20	2023-10-23	3	7	0	0	7	2237.36	319.6228571428572	745.79	745.79	1901.76	271.68	633.92	335.6	Ipanema	Confirmada	HMRW2H2B8F
